local;oaci;iata;tipo;denominacion;coordenadas;latitud;longitud;elev;uom_elev;ref;distancia_ref;direccion_ref;condicion;control;region;fir;uso;trafico;sna;concesionado;provincia;inhab
GLP;;;Aeródromo;"GUALEGUAYCHÚ/EA. LA PROVIDENCIA";"32°56'29""S  58°33'53""W";-58.56483000;-32.94140000;20.00;Metros;Gualeguaychú;8.0;N;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"ENTRE RÍOS";NO
GNA;SAMA;;Aeródromo;"GENERAL ALVEAR";"35° 3'34""S  67°41'35""W";-67.69319000;-35.05939000;454.00;Metros;"General Alvear";7.5;S;PUBLICO;NOCONTROL;RANO;SAMF;CIVIL;Nacional;NO;NO;MENDOZA;NO
GNR;SAHR;GNR;Aeródromo;"GENERAL ROCA/DR. ARTURO HUMBERTO ILLIA";"39° 0' 0""S  67°37'11""W";-67.61972222;-39.00000000;260.00;Metros;"General Roca";4.8;NO;PUBLICO;AERADIO;RACE;SAEF;CIVIL;Nacional;SI;NO;"RÍO NEGRO";NO
GNV;;;Aeródromo;"GENERAL VIAMONTE/LOS TOLDOS";"34°58'38""S  61° 1'15""W";-61.02083333;-34.97722222;72.00;Metros;"General Viamonte";3.1;NE;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
GOC;;;Aeródromo;"GOBERNADOR CASTRO/EL GIRASOL";"33°40' 7""S  59°50' 3""W";-59.83415000;-33.66857000;28.00;Metros;"Gobernador Castro";4.0;SE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
GOM;;;Aeródromo;"CAÑADA DE GÓMEZ";"32°48'32""S  61°21'57""W";-61.36579000;-32.80887000;82.00;Metros;"Cañada de Gómez";1.5;E;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"SANTA FÉ";NO
GOR;SACT;;Aeródromo;"GOBERNADOR GORDILLO/CHAMICAL";"30°20'39""S  66°17'39""W";-66.29403000;-30.34416000;458.00;Metros;"El Chamical";2.0;E;PUBLICO;AERADIO;RANO;SACF;CIVIL;Nacional;NO;NO;"LA RIOJA";NO
GOY;SATG;OYA;Aeródromo;GOYA;"29° 6'21""S  59°13' 7""W";-59.21874000;-29.10595000;39.00;Metros;Goya;6.0;NE;PUBLICO;CONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;CORRIENTES;NO
GOZ;;;Aeródromo;GÓMEZ;"35° 5'44""S  58° 5' 9""W";-58.08580000;-35.09556000;19.00;Metros;Gómez;8.0;SE;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
GPF;;;Aeródromo;"GENERAL PICO/CEREALES ANAHÍ RUCA";"35°40'25""S  63°43' 5""W";-63.71805556;-35.67361111;139.00;Metros;"General Pico";3.0;E;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"LA PAMPA";NO
GPI;SAZG;GPO;Aeródromo;"GENERAL PICO";"35°41'41""S  63°45'32""W";-63.75888889;-35.69472222;140.00;Metros;"General Pico";3.5;SO;PUBLICO;AERADIO;RACE;SAEF;CIVIL;Nacional;SI;SI;"LA PAMPA";NO
GPK;;;Aeródromo;"GENERAL PINEDO/KALBERMATTER";"27°15'37""S  61°28'28""W";-61.47444444;-27.26027778;101.00;Metros;"General Pinedo";20.0;NO;PRIVADO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;CHACO;NO
GPO;;;Aeródromo;"GENERAL PINEDO";"27°20'38""S  61°16'29""W";-61.27484000;-27.34401000;91.00;Metros;"General Pinedo";2.0;E;PUBLICO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;CHACO;NO
GRA;SAWE;RGA;Aeródromo;"RÍO GRANDE";"53°46'39""S  67°44'58""W";-67.74952000;-53.77760000;20.00;Metros;"Río Grande";9.0;NO;PUBLICO;CONTROL;RASU;SAVF;;Internacional;SI;SI;"TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR";NO
GRE;SAWR;GGS;Aeródromo;"GOBERNADOR GREGORES";"48°46'60""S  70° 9'44""W";-70.16222222;-48.78333333;356.00;Metros;"Gobernador Gregores";5.0;E;PUBLICO;AERADIO;RASU;SAVF;CIVIL;Nacional;NO;NO;"SANTA CRUZ";NO
GRZ;;;Aeródromo;"GENERAL RODRIGUEZ";"34°34'58""S  59° 0' 2""W";-59.00055556;-34.58277778;28.00;Metros;"General Rodriguez";10.0;SE;PRIVADO;NOCONTROL;RACE;SAEF;ULM;Nacional;NO;NO;"BUENOS AIRES";NO
GSE;;;Aeródromo;"GUAVIRAVÍ/EA. SANTA ELISA";"29°18'16""S  56°52'52""W";-56.88124000;-29.30444000;63.00;Metros;Guaviraví;8.7;NO;PRIVADO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;CORRIENTES;NO
GTE;;;Aeródromo;GUATRACHE;"37°42'19""S  63°33'25""W";-63.55708000;-37.70516000;175.00;Metros;Guatrache;3.0;SSO;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"LA PAMPA";NO
GUA;SAAG;GHU;Aeródromo;GUALEGUAYCHÚ;"33° 0'20""S  58°36'46""W";-58.61277778;-33.00555556;23.00;Metros;Gualeguaychú;8.0;O;PUBLICO;CONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"ENTRE RÍOS";NO
GVA;;;Aeródromo;"GENERAL ALVEAR/AEROCLUB";"34°58'11""S  67°43'27""W";-67.72416667;-34.96972222;466.00;Metros;"General Alvear";4.0;O;PRIVADO;NOCONTROL;RANO;SAMF;CIVIL;Nacional;NO;NO;MENDOZA;NO
GVZ;;;Aeródromo;"GONZALEZ CHAVES";"38° 1'59""S  60° 8' 2""W";-60.13388889;-38.03305556;194.00;Metros;"Adolfo Gonzalez Cháves";2.5;O;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
GYA;;;Aeródromo;GOYA/AEROCLUB;"29°10'11""S  59°14'49""W";-59.24699000;-29.16975000;38.00;Metros;Goya;1.5;SE;PRIVADO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;CORRIENTES;NO
GYT;;;Aeródromo;"GOBERNADOR GARMENDIA/AGRO SERVICIO YORIS";"26°34'45""S  64°31'43""W";-64.52869000;-26.57916000;318.00;Metros;"Gobernador Garmendia";3.0;E;PRIVADO;NOCONTROL;RANO;SACF;AEROAPP;Nacional;NO;NO;TUCUMÁN;NO
HAB;;;Helipuerto;"HELIPLATAFORMA AM1";"52°31' 9""S  68°23' 9""W";-68.38583300;-52.51916700;30.00;Metros;"Estrecho de Magallanes";0.0;Lindando;PRIVADO;NOCONTROL;RASU;SAVF;CIVIL;Nacional;NO;NO;"TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR";NO
HAC;;;Helipuerto;"ALPA CORRAL/JUAN Y LUCI";"32°41'24""S  64°42'60""W";-64.71654300;-32.68989300;733.00;Metros;"Alpa Corral";0.0;SO;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
HAD;;;Helipuerto;"HELIPLATAFORMA AM2";"52°32'56""S  68°18'45""W";-68.31250000;-52.54888900;44.00;Metros;"Estrecho de Magallanes";0.0;Lindando;PRIVADO;NOCONTROL;RASU;SAVF;CIVIL;Nacional;NO;NO;"TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR";NO
HAG;;;Helipuerto;"LUJAN/SOL DE AGOSTO";"34°31'60""S  58°58'15""W";-58.97085900;-34.53325000;10.00;Metros;Luján;5.0;E;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HAI;;;Helipuerto;"VILLA CARLOS PAZ/NORBERTO CORDEIRO";"31°24'51""S  64°29'49""W";-64.49703700;-31.41415000;621.00;Metros;"Margen E Río San Antonio y Río Uruguay";0.0;Lindando;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
HAM;;;Helipuerto;"HELIPLATAFORMA AM3";"52°31'22""S  68°16'51""W";-68.28083300;-52.52277800;41.00;Metros;"Estrecho de Magallanes";0.0;Lindando;PRIVADO;NOCONTROL;RASU;SAVF;CIVIL;Nacional;NO;NO;"TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR";NO
HAS;;;Helipuerto;"PARANÁ/AMARRAS DEL SOL";"31°42'31""S  60°30' 3""W";-60.50083333;-31.70861111;16.00;Metros;Paraná;4.0;NE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"ENTRE RÍOS";NO
HAT;;;Helipuerto;"ALMAFUERTE/TRANSENER S.A.";"32°12'13""S  64°18'53""W";-64.31460300;-32.20354000;500.00;Metros;Almafuerte;6.3;O;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
HAU;;;Helipuerto;"BUENOS AIRES/AUTÓDROMO CIUDAD DE BS. AS.";"34°41'38""S  58°27'38""W";-58.46042500;-34.69391800;16.00;Metros;;0.0;Lindando;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"CIUDAD AUTÓNOMA DE BUENOS AIRES";NO
HBA;;;Helipuerto;"SAN CARLOS DE BARILOCHE/ARELAUQUEN";"41° 9'40""S  71°21'56""W";-71.36568000;-41.16116100;945.00;Metros;"San Carlos de Bariloche";8.0;SO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"RÍO NEGRO";NO
HBC;;;Helipuerto;"BUENOS AIRES/B. CHURRUCA";"34°38'27""S  58°24'34""W";-58.40944100;-34.64073000;6.00;Metros;"Ciudad de Buenos Aires";0.0;O;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"CIUDAD AUTÓNOMA DE BUENOS AIRES";NO
HBI;;;Helipuerto;"CÓRDOBA/HELIPUERTO CENTRO CÍVICO BICENTENARIO";"31°25'13""S  64°10'24""W";-64.17338200;-31.42039800;392.00;Metros;Aeropuerto;12.0;SSE;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
HBM;;;Helipuerto;"BUENOS AIRES/MADERO";"34°37'18""S  58°20'42""W";-58.34491300;-34.62153500;5.00;Metros;"Ciudad de Buenos Aires";0.0;SE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"CIUDAD AUTÓNOMA DE BUENOS AIRES";NO
HBO;;;Helipuerto;"EL BRACHO/TRANSENER S.A.";"26°59'37""S  65° 9'49""W";-65.16347800;-26.99352800;378.00;Metros;"El Bracho";0.0;Lindando;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;TUCUMÁN;NO
HBP;;;Helipuerto;"BAHÍA BLANCA/PBB POLISUR S.A.";"38°46'24""S  62°17'38""W";-62.29398400;-38.77345000;5.00;Metros;"Bahía Blanca";6.5;SSO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HBR;;;Helipuerto;CÓRDOBA/BERRINI;"31°26'23""S  64°20'37""W";-64.34373000;-31.43976500;552.00;Metros;Córdoba;14.0;SO;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
HBT;;;Helipuerto;"LA PLATA";"34°54' 2""S  57°55'46""W";-57.92948611;-34.90044444;6.00;Metros;"La Plata";3.0;NE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HCA;;;Helipuerto;"COSTA AZUL/LA CALDERA";"36°40' 1""S  56°40'43""W";-56.67872100;-36.66698500;10.00;Metros;"Duhau, Av. Belgrano y Av. Costanera";0.0;Lindando;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HCC;;;Helipuerto;"CHOEL  CHOEL/TRANSENER S.A.";"39°33'60""S  65°41'20""W";-65.68877000;-39.56666200;130.00;Metros;Lamarque;16.0;S;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"RÍO NEGRO";NO
HCD;;;Helipuerto;"SAN MARTÍN DE LOS ANDES/EA. LA CANDELARIA";"40° 2'39""S  71°21'60""W";-71.36664600;-40.04405300;914.00;Metros;"San Martín de los Andes";13.0;N;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;NEUQUÉN;NO
HCE;;;Helipuerto;"HELIPLATAFORMA/RÍO CULLEN-HIDRACENTRO TOTAL AUSTRAL";"52°50'11""S  68°10'44""W";-68.17888900;-52.83638900;39.00;Metros;;0.0;Lindando;PRIVADO;NOCONTROL;RASU;SAVF;CIVIL;Nacional;NO;NO;"TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR";NO
HCG;;;Helipuerto;"EZEIZA/TRANSENER S.A.";"34°54'44""S  58°43'11""W";-58.71984400;-34.91235400;20.00;Metros;Cañuelas;15.0;N;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HCI;;;Helipuerto;"BELÉN DE ESCOBAR/CABAÑA SAN ISIDRO LABRADOR I";"34°22'43""S  58°47'19""W";-58.78852000;-34.37867400;12.00;Metros;"Belén de Escobar";3.0;SSE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HCL;;;Helipuerto;"CATAN LIL/EA. SANTA ISABEL";"39°53' 5""S  70°30'50""W";-70.51390700;-39.88478200;950.00;Metros;"Departamento de Collón Curá";0.0;Lindando;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;NEUQUÉN;NO
HCN;;;Helipuerto;"EMBALSE/CENTRAL NUCLEAR";"32°13'46""S  64°26'24""W";-64.43990400;-32.22945400;530.00;Metros;Embalse;0.0;SE;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
HCO;;;Helipuerto;"CHENAUT/EL CAPRICHO";"34°13'58""S  59°18'57""W";-59.31590200;-34.23274300;30.00;Metros;"Estación Chenaut";6.0;O;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HCP;;;Helipuerto;"YACIMIENTO CAÑADON ALFA/TOTAL AUSTRAL S.A.";"52°44'19""S  68°34'21""W";-68.57249300;-52.73866100;87.00;Metros;;0.0;Lindando;PRIVADO;NOCONTROL;RASU;SAVF;CIVIL;Nacional;NO;NO;"TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR";NO
HCR;;;Helipuerto;"BARREALES - GRAN MENDOZA/TRANSENER S.A.";"33° 5'57""S  68°34'46""W";-68.57939700;-33.09920800;674.00;Metros;Barreales;0.0;O;PRIVADO;NOCONTROL;RANO;SAMF;CIVIL;Nacional;NO;NO;MENDOZA;NO
HCS;;;Helipuerto;"CAPILLA DEL SEÑOR/LAS ARAUCARIAS";"34°18'25""S  59°10'13""W";-59.17027600;-34.30704800;25.00;Metros;"Capilla del Señor";6.5;O;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HCT;;;Helipuerto;"CAMPANA/TRANSENER S.A.";"34°10'28""S  58°59'58""W";-58.99930700;-34.17437900;10.00;Metros;Campana;3.0;O;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HCU;;;Helipuerto;"CÓRDOBA/CIUDAD UNIVERSITARIA";"31°26'27""S  64°11'25""W";-64.19026600;-31.44080500;440.00;Metros;"Medina Allende, Av. Ciudad de Valparaiso y vías FCGBM";0.0;Lindando;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
HCV;;;Helipuerto;"CABO VÍRGENES/BRM CABO VÍRGENES";"52°19'49""S  68°24'30""W";-68.40845300;-52.33031100;55.00;Metros;"Río Gallegos";120.0;SE;PRIVADO;NOCONTROL;RASU;SAVF;CIVIL;Nacional;NO;NO;"SANTA CRUZ";NO
HDA;;;Helipuerto;"BUENOS AIRES/DARSENA SUR";"34°37'40""S  58°21' 6""W";-58.35153200;-34.62786200;5.00;Metros;"Isla Demarchi";0.0;O;PUBLICO;NOCONTROL;RACE;SAEF;MIL;Nacional;NO;NO;"CIUDAD AUTÓNOMA DE BUENOS AIRES";NO
HDI;;;Helipuerto;"BUENOS AIRES/DINES DR. E. ESCUDERO";"34°34'21""S  58°24' 2""W";-58.40045800;-34.57257900;6.00;Metros;"Salguero y Costanera";0.0;Lindando;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"CIUDAD AUTÓNOMA DE BUENOS AIRES";NO
HDL;;;Helipuerto;"JUNÍN DE LOS ANDES/CASA DE LATA";"39°48'56""S  71°10'12""W";-71.16995000;-39.81557900;982.00;Metros;"Junín de los Andes";12.0;N;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;NEUQUÉN;NO
HDR;;;Helipuerto;"GRANADERO BAIGORRIA/HOSPITAL R. CARRILLO";"32°51' 7""S  60°42'33""W";-60.70921100;-32.85180600;37.00;Metros;"Granadero Baigorria";1.0;SE;PUBLICO;NOCONTROL;RACE;SAEF;;Nacional;NO;NO;"SANTA FÉ";NO
HDS;;;Aeródromo;HENDERSON;"36°18'55""S  61°44'52""W";-61.74777778;-36.31527778;150.00;Metros;Henderson;2.5;OSO;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HDT;;;Helipuerto;"DON TORCUATO/TIMEN S.A.";"34°29'46""S  58°36'29""W";-58.60803100;-34.49608500;6.00;Metros;"Ex Aeródromo Don Torcuato";0.0;Lindando;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HEA;;;Helipuerto;"HELIPLATAFORMA AM6";"52°36'30""S  68° 7'40""W";-68.12777800;-52.60833300;32.00;Metros;"Cabo Vírgenes";34.0;SE;PRIVADO;NOCONTROL;RASU;SAVF;CIVIL;Nacional;NO;NO;"TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR";NO
HEC;;;Helipuerto;"LA PLATA/ECODYMA S.C.A.";"34°56'27""S  57°59'31""W";-57.99188100;-34.94078600;14.00;Metros;"Estación La Plata";5.5;SO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HEN;;;Helipuerto;"BAHÍA SAN SEBASTIÁN/PLANTA CRUZ DEL SUR";"53°19'23""S  68°15'58""W";-68.26610700;-53.32299000;53.00;Metros;"Río Grande";64.0;NO;PRIVADO;NOCONTROL;RASU;SAVF;CIVIL;Nacional;NO;NO;"TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR";NO
HES;;;Helipuerto;"ARIES/TOTAL FINA";"52°40'59""S  68° 2'31""W";-68.04194400;-52.68305600;0.00;Pies;;0.0;;PRIVADO;NOCONTROL;RASU;SAVF;CIVIL;Nacional;NO;NO;"TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR";NO
HET;;;Helipuerto;"SANTIAGO DEL ESTERO/HELIPUERTO EDIFICIO TRIBUNALES";"27°46'53""S  64°15'54""W";-64.26512700;-27.78139600;195.00;Metros;"Av. H. Yrigoyen entre Av. Alvear y Chacabuco";;;PRIVADO;NOCONTROL;RANO;SACF;;Nacional;NO;NO;"SANTIAGO DEL ESTERO";NO
HEV;;;Helipuerto;"ALMIRANTE BROWN/DESTACAMENTO POLICIAL EL VAPOR";"34°50' 5""S  58°23' 6""W";-58.38498400;-34.83467200;28.00;Metros;"Destacamento Policial El Vapor";0.0;Lindando;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HFA;;;Helipuerto;"BUENOS AIRES/FUERZA AÉREA";"34°35'10""S  58°22' 5""W";-58.36805100;-34.58598000;6.00;Metros;"Estación Retiro";0.5;NE;PRIVADO;NOCONTROL;RACE;SAEF;MIL;Nacional;NO;NO;"CIUDAD AUTÓNOMA DE BUENOS AIRES";NO
HFC;;;Helipuerto;"SALTA/FINCA LAS COSTAS";"24°46'13""S  65°29'44""W";-65.49550100;-24.77040500;1311.00;Metros;Salta;8.5;ONO;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;SALTA;NO
HFV;;;Helipuerto;"FLORENCIO VARELA/COLONIA LA CAPILLA";"34°55' 1""S  58°15' 1""W";-58.25022100;-34.91687500;25.00;Metros;"Florencio Varela";9.0;OSO;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HGA;;;Helipuerto;"CAÑUELAS/CAÑUELAS GAS S.A.";"35° 3'30""S  58°47'17""W";-58.78816100;-35.05834200;30.00;Metros;Cañuelas;9.0;OSO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HGB;;;Helipuerto;"SALTA/CENTRO CÍVICO GRAND BOURG";"24°46'51""S  65°27' 4""W";-65.45108400;-24.78076200;1260.00;Metros;Salta;4.0;NE;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;SALTA;NO
HGM;;;Helipuerto;"GONZALEZ CATÁN/LAR DE PAZ S.A.";"34°46'35""S  58°39'30""W";-58.65827100;-34.77629900;15.00;Metros;"Estación FFCC Gonzalez Catán";1.3;SO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HGN;;;Helipuerto;"BUENOS AIRES/CENTINELA";"34°34'57""S  58°22'28""W";-58.37452800;-34.58244500;13.00;Metros;"Ciudad de Buenos Aires";0.0;SE;PRIVADO;NOCONTROL;RACE;SAEF;JOINT;Nacional;NO;NO;"CIUDAD AUTÓNOMA DE BUENOS AIRES";NO
HGS;;;Aeródromo;"HUGHES/PLUS AGROSERVICIOS AÉREOS";"33°48'40""S  61°20'15""W";-61.33750000;-33.81111111;97.00;Metros;Hughes;1.0;S;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"SANTA FÉ";NO
HHL;;;Helipuerto;"LAS LAJAS/EA. HAYCHOL";"38°32'53""S  70°40'39""W";-70.67749400;-38.54817800;1051.00;Metros;"Las Lajas";35.0;O;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;NEUQUÉN;NO
HHM;;;Helipuerto;"SALTA/HOSPITAL DE MILAGRO";"24°46'23""S  65°24'56""W";-65.41562100;-24.77292100;1240.00;Metros;Salta;3.0;N;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;SALTA;NO
HHT;;;Helipuerto;"DON TORCUATO/TECNOCOPTER S.A.";"34°29'34""S  58°36'25""W";-58.60691500;-34.49266800;20.00;Metros;"Ex Aeródromo Don Torcuato";0.0;Lindando;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HHW;;;Helipuerto;MORENO/HELIWEST;"34°38' 3""S  58°45' 6""W";-58.75178200;-34.63419900;21.50;Metros;Moreno;3.9;ENE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HIL;;;Helipuerto;"GRAL. VILLEGAS/SAN ISIDRO LABRADOR II";"35° 4'54""S  63° 4'48""W";-63.07995300;-35.08174900;115.00;Metros;"General Villegas";8.0;SE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HIS;;;Helipuerto;"LA MATANZA/CAMPANÓPOLIS";"34°47'30""S  58°36' 7""W";-58.60187800;-34.79173300;6.00;Metros;"Aeropuerto Ezeiza / Ministro Pistarini";7.0;ONO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HIT;;;Helipuerto;ITUZAINGÓ/TRANSENER;"27°33'31""S  56°39'30""W";-56.65829400;-27.55857500;71.00;Metros;Ituzaingó;4.0;NNE;PRIVADO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;CORRIENTES;NO
HJN;;;Helipuerto;"JUNÍN DE LOS ANDES/EA. PALITUE";"39°51'10""S  71° 2'47""W";-71.04642600;-39.85277400;859.00;Metros;"Junín de los Andes";10.0;N;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;NEUQUÉN;NO
HLE;;;Helipuerto;"LAGO ESCONDIDO/HIDDEN LAKE S.A.";"41°42'12""S  71°36'28""W";-71.60769700;-41.70337000;830.00;Metros;"El Bolsón";31.0;NNO;PRIVADO;NOCONTROL;RASU;SAVF;CIVIL;Nacional;NO;NO;"RÍO NEGRO";NO
HLF;;;Helipuerto;"CAPILLA DEL SEÑOR/LOS FRESNOS";"34°16'54""S  59° 7' 7""W";-59.11861600;-34.28160000;34.00;Metros;"Capilla del Señor";2.2;NO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HLH;;;Helipuerto;LUJÁN/HOMAQ;"34°33'26""S  59° 2'45""W";-59.04591900;-34.55735300;24.00;Metros;Luján;6.0;N;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HLI;;;Helipuerto;"DON TORCUATO/HELICENTER";"34°29'51""S  58°36'25""W";-58.60688400;-34.49753100;3.87;Metros;"Ex Aeródromo Don Torcuato";0.0;Lindando;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HLL;;;Helipuerto;"SAN CARLOS DE BARILOCHE/COMPLEJO LLAO LLAO";"41° 3'17""S  71°32' 2""W";-71.53382500;-41.05465900;775.00;Metros;"San Carlos de Bariloche";20.0;O;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"RÍO NEGRO";NO
HLP;;;Helipuerto;"LA PLATA/HELIPUERTO D.P.A.O.";"34°57'35""S  57°53'35""W";-57.89307500;-34.95980200;19.00;Metros;"Extremo W del aeródromo";0.0;Lindando;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HLR;;;Helipuerto;"LOS CARDALES/LA RESERVA";"34°16'14""S  58°54' 2""W";-58.90042700;-34.27044900;6.00;Metros;"Los Cardales";10.0;NE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
HLS;;;Helipuerto;"OPEN DOOR/LA SUPERBA";"34°30' 3""S  59° 0'55""W";-59.01518400;-34.50072100;0.00;Metros;;0.0;Lindando;PRIVADO;NOCONTROL;RACE;SAEF;;Nacional;NO;NO;"BUENOS AIRES";NO
HLT;;;Helipuerto;"VILLA ROSA/LAS CHACRITAS";"34°24'17""S  58°51'49""W";-58.86358900;-34.40463200;19.66;Metros;"Villa Rosa";1.5;NNE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
